无锡市安民康复医院	无锡安民康复医院
天津市北辰区天穆地段医院	
天津市东环医院	
天津市南开区长江医院	
天津市南开区东南角医院	
天津市华康医院	
天津市南开区口腔医院	
天津市一中心皮肤病医院(民营)	
天津市南开区南丰桥医院	
天津市安泰医院	
天津延安医院(民营)	
天津市南开区慢性病防治所天津市南开区肺科医院	
天津市中联医院(民营)	
天津麦格眼科医院(民营)	
天津市南开区体育中心医院(原:天津市南开区东北角医院)	
天津市南开区三潭医院	
天津市第一中心医院东院(原:天津市工人医院)	
天津拖拉机制造厂职工医院	
中国人民解放军空军水上村医院	
天津市南开区理疗专科医院	
天津市南开区中医院天津市中医药大学附属南开中医院	
天津市黄河医院	天津市黄河医院
天津市南开区妇幼保健院天津市南开区水阁医院	
中国人民解放军第二七一医院	
天津市南开区王顶堤医院天津市南开区精神卫生中心	
天津市民政局老年病医院	
天津中医药大学第一附属医院	天津市中医药大学第一附属医院
天津市第一中心医院	天津市第一中心医院
中国人民解放军空军天津医院〓中国人民解放军四六四医院	中国人民解放军空军天津医院中国人民解放军四六四医院
天津市第二人民医院(原:天津市传染病医院)	
天津市中西医结合医院天津市南开医院	天津市中西医结合医院天津市南开医院
天津市南开区西北角医院	
天津市东升医院	
天津市南开区六合医院	
天津市滨水地段医院	
天津佳园医院	
天津市南门医院	
天津市天津华博医院(民营)	
天津市永安医院(民营)	
天津博爱眼科中心(民营)	
天津医科大学眼科中心医院	
天津市胸科医院分院	
天津市和平区妇产科医院	
中国人民解放军第二七二医院	
天津市和平区中医院	
天津市和平医院	
天津市公安医院	天津市公安医院
天津医科大学总医院	天津医科大学总医院
天津市人民医院滨江分院〓天津市滨江医院	
南开大学附属口腔医院〓天津市口腔医院	
天津市中医药研究院附属医院	天津市中医药研究院附属医院
天津市眼科医院	
中国医学科学院血液病医院	中国医学科学院血液病医院
天津市中心妇产科医院	天津市中心妇产科医院
天津市心理卫生医院	
天津市胸科医院	天津市胸科医院
天津医科大学口腔医院	
天津医科大学代谢病医院	天津医科大学代谢病医院
天津市上河头医院	
天津市和平区安定医院	
天津市和平区四面钟医院	
天津市和平区小白楼医院	
天津市和平区兴安医院	
天津市和平区妇幼保健所	
天津市和平区南营门医院	
天津市和平区新兴医院	
天津市塘沽区口腔医院	
天津市塘沽区糖尿病医院	
天津市塘沽区传染病医院	天津市塘沽区传染病医院
中国建筑第六工程局中心医院	
海洋石油总医院(原:渤海石油职工医院)	
天津市永久医院(原:天津碱厂医院)	
天津大沽化工厂医院	
天津市塘沽区妇幼保健院	
天津市塘沽盐厂职工医院	
天津港口医院	天津港口医院
天津市塘沽区中医院	天津市塘沽区中医院
天津市滨海新区塘沽响螺湾医院	
北京大学滨海医院〓天津市第五中心医院(原:天津市塘沽医院)	天津市第五中心医院(原:天津市塘沽医院)
天津市塘沽区北塘医院	
天津市塘沽区杭州道街社区卫生服务中心(原:天津市塘沽区杭州道医院)	
天津市塘沽区三槐路街社区卫生服务中心(原:天津市塘沽区肛肠医院)	
天津塘沽区向阳街社区卫生服务中心(原:天津市塘沽区向阳医院)	
中国建筑六局一公司职工医院	
天津大港慈爱医院(民营)	
天津市大港医院	天津市大港医院
天津海滨人民医院(:大港油田总医院)	天津海滨人民医院( 原大港油田总医院)
天津华兴医院(原:中国石化集团第四建设公司职工医院)	天津华兴医院(原:中国石化集团第四建设公司职工医院)
天津市大港区中医院	
天津石化医院	
天津市大港区妇幼保健院	
天津市宁河区民政局康复医院	
天津市宁河区中医院	
天津市宁河区医院	宁河县医院
天津市宁河区妇幼保健院	
天津市宝坻区中医院	
天津市宝坻区妇幼保健院	天津市宝坻区妇幼保健院
天津市宝坻区人民医院	
天津市武清区人民医院	
天津市武清区妇幼保健院	
天津市武清区第二人民医院	天津市武清区第二人民医院
天津市武清区中医院	
天津市武清区河西务医院	
天津市武清区黄花店医院	
天津市武清区王庆坨医院	
天津市武清区城关医院	
天津市汉沽区传染病医院	
天津市汉沽区地段医院	
天津市汉沽区安定医院	
天津市汉沽农场医院	
天津市汉沽区医院	天津市汉沽区医院
天津市汉沽区中医院(原:天津化工厂医院)	天津市汉沽中医院
天津市汉沽中医院	天津市汉沽中医院
天津市汉沽区妇幼保健所	
天津市河东区结核病呼吸系统疾病防治院	
天津河东钟山医院(民营)	
中国人民解放军东局子医院	
天津市河东疡科医院	
天津市河东骨科医院	
天津市河东区中心第三医院	
天津慈航医院	
天津河东东山医院(民营)	
核理化院职工医院	
天津市河东区万辛医院	
天津河东香山医院(民营)	
天津河东东环医院(民营)	
天津仁爱医院(民营)	
天津华北医院(民营)	
天津市冶金医院	
天津市河东区赤峰医院	赤峰市医院
天津电力医院	
天津铁厂职工医院	
武警八六三0部队医院	
天津市河东区中医院	
武警医学院附属医院平津医院	
天津市第三中心医院〓天津市肝胆病医院	
天津武警部队医院	天津武警部队医院
天津市河东区妇幼保健所	
天津市河东区津东医院	
天津市河东区二号桥医院	
天津市河东区富民医院	
天津市河东区鸿泰广场医院	
天津市河东区新开医院	
天津市河东区大直沽医院	
天津市河东区盘山医院	
天津市河东区向阳医院	
天津市河东区广宁医院	
天津市河北区王串场医院	
天津市江都路医院	
天津铁建昆仑医院	
天津天伟医院	
天津市天穆镇北辰医院	
天津永安医院	
天津市金钟医院	
天津市河北区昆纬路医院	
天津京津医院	
天津市河北区小关医院	
天津市河北区妇产科医院	
天津市河北区新开河医院	
天津中辰医院(民营)	
天津市河北区中山门医院	
天津市河北区中山医院	
天津市津文医院	
天津市第一医院	天津市第一医院
天津市河北区建昌医院	
天津市河北医院	
天津市河北区妇幼保健院	
天津市第二医院	天津市第二医院
天津中医药大学第二附属医院	天津市中医药大学第二附属医院
中国人民解放军第二五四医院	联勤保障部队第九八三医院（原中国人民解放军第二五四医院）
天津市中医院	
天津公安局安康医院	
天津市第四中心医院(原:天津铁路中心医院)	天津市第四中心医院(原:天津铁路中心医院)
天津市第三医院	
天津市河北区光复道医院	
天津市河北区北宁医院	
天津市河北区津鸿医院	
天津市河西口腔医院	
天津市河西肿瘤医院	
天津市长康医院	
天津市河西区骨科医院	
天津友谊骨伤医院(民营)	
天津华夏医院(民营)	
天津抗癌协会津西医院(民营)	
天津曹开镛中医男科医院(民营)	
天津儿童病专科医院(民营)	
天津肿瘤专科医院(民营)	
天津乐园骨科医院(民营)	
天津市河西区珠海地段医院	
天津康宁医院(民营)	
天津爱民减肥医院(民营)	
天津市河西区友谊医院	
天津珠江骨科医院(民营)	
天津市河西医院	
天津市河西区妇产科医院	
天津市河西区中医院	
天津经济技术开发区医院	
天津市河西区妇幼保健院	
天津大学天津医院〓天津市骨科医院	天津市天津医院天津市骨科医院
天津市精神卫生中心天津市安定医院	
天津市肺科医院天津市结核病医院	
天津市儿童医院	天津市儿童医院
天津医科大学第二附属医院	天津医科大学第二附属医院
天津市环湖医院天津市脑系科中心医院	天津市环湖医院天津市脑系科中心医院
天津医科大学第三附属医院	
天津医科大学附属肿瘤医院天津市肿瘤医院	
南开大学附属医院(原:天津市第四医院)	天津市第四医院
天津市河西区尖山医院	
天津市河西区马场医院	
天津市河西区下瓦房医院	
天津市河西区柳林医院	
天津市津南区中医院	
天津市津南区结核病防治所	
天津市津南区小站医院	
天津市咸水沽医院	
天津市海河医院(原:中铁第十八工程集团中心医院)	天津市海河医院(原:中铁第十八工程集团中心医院)
天津市津南区妇幼保健院	
天津市红桥区口腔医院	
天津市咸阳北路地段医院	
天津市红桥区天福慈济医院	
天津市红十字会医院天津市脊柱外科专科医院	
天津市天华医院(民营)	
天津市红桥区西北角医院	
天津市红桥区丁字沽医院	
天津市红桥医院	天津市红桥医院
天津市民族医院	
天津市红桥区妇幼保健院	
天津市红桥区中医院	
天津市新生医院	
天津市长征医院	
天津市人民医院(原:天津市第二中心医院)	天津市人民医院(原:天津市第二中心医院)
天津市红桥区咸阳医院	
天津市红桥区新村医院	
天津市红桥区大丰桥医院	
天津市红桥区大胡同医院	
天津市红桥区河北街医院	
天津市红桥区洪湖医院	
天津市红桥区南头窑医院	
天津市红桥区三条石地段医院	
天津市红桥区文昌宫医院	
天津市红桥区西沽地段医院	
天津市蓟州区中医院	
天津市蓟州区人民医院	天津市蓟州区人民医院
天津市蓟州区人民医院邦均分院	
天津市蓟州区人民医院别山分院	
天津市蓟州区妇幼保健院	
天津市蓟州区人民医院出头岭分院	
天津市蓟州区人民医院马伸桥分院	
天津市蓟州区人民医院上仓分院	
天津市蓟州区人民医院下仓分院	
天津市蓟州区人民医院下营分院	
天津市蓟州区人民医院尤古庄分院	
天津市蓟州区邦均医院	
天津市蓟州区新城医院	
天津市蓟州区下营医院	
天津市蓟州区安定医院〓天津市蓟州区精神卫生中心	
天津市邵公庄地段医院	
天津市津西医院	
天津市傅村医院	
天津市常州道医院	
天津市永昌医院	
天津市西青区中美医院(原:天津市西青区宾水医院)	
天津市建华精神病院(民营)	
天津市南河安定医院(民营)	
天津市西青区结核病防治所	
天津市西青区中医院	
天津市西青医院	
天津市西青区永红医院	
天津市西青区妇幼保健所	
天津市复员军人精神病院	
天津市静海区中医院	
天津市静海区妇幼保健院	
天津市静海区医院	静海县医院
天津市宝坻区宝平医院	
天津市宝坻区新安镇医院	
天津市滨海新区塘沽大华医院	
天津市永久医院	
河西区口腔医院	
南开区广开医院	
天津市宁河区芦台医院	
南开区王顶堤医院	
天津市宁河区潘庄医院	
天津市宁河区丰台医院	
天津市宝坻区八门城医院	
天津市宝坻区海滨医院	
天津市宝坻区大白医院	
天津市宝坻区大口屯医院	
天津市宝坻区大钟医院	
天津市宝坻区方家庄医院	
天津市宝坻区钰华医院	
天津市宝坻区郝各庄医院	
天津市宝坻区黑狼口医院	
天津市宝坻区林亭口医院	
天津市宝坻区史各庄医院	
天津市宝坻区安康医院	
天津市宝坻区王卜庄医院	
天津铭远医院	
天津市滨海新区汉沽中医院	
天津市滨海新区塘沽传染病医院	
河西区康复医院	
河西区中医院	
天津市蓟州区别山医院	
天津市蓟州区出头岭医院	
天津市蓟州区马伸桥医院	
天津市蓟州区上仓医院	
天津市蓟州区下仓医院	
天津市蓟州区尤古庄医院	
南开区理疗医院	
天津市宁河区赵本医院	
天津市宁河区宁河医院	宁河县医院
天津市宁河区七里海医院	
天津市武清区大良医院	
天津市武清区梅厂医院	
天津市武清区南蔡村医院	
天津市南开区水上公园医院	
天津市武清区崔黄口医院	
太原万柏林区精神病院	
太原市河西区口腔医院	
山西省中医院和平分院	
太原市河西区精神病院	
山西省创伤骨科医院	
山西焦煤西山煤电集团公司白家庄矿职工医院	
山西焦煤西山煤电集团公司官地矿职工医院	
太原市三益计算机公司职工医院	
山西省纺织印染厂职工医院	
太原市化肥厂职工医院	
山西焦煤西山煤电集团公司西铭矿职工医院	
山西省西峪煤矿职工医院	
太原市万柏林区中医院	
太原市制药厂职工医院	
太原市第四人民医院太原市结核病医院	
山西焦煤西山煤电集团公司杜儿坪矿职工医院	
山西齿科医院	
太原市万柏林区妇幼保健站	
太原化学工业集团职工医院	
太原重型机械(集团)有限公司职工医院	
中化一建集团医院	
山西省晋西机器厂职工医院	
太原市河西区中心医院	
山西省中医院山西中医学院附属医院山西省中医药研院	山西省中医院山西中医学院附属医院山西省中医药研院
山西中医学院第二中医院	
山西焦煤西山煤电集团公司职工总医院(原:西山矿务局职业医院)	山西焦煤西山煤电集团公司职工总医院(原:西山矿务局职业医院)
太原市大众机械厂职工医院	
太原市矿务局古交矿建工程处职工医院	
山西焦煤西山煤电集团公司西曲矿职工医院	
古交市中心医院	
西山煤电(集团)有限责任公司古交矿区总医院	
古交市人民医院(原:古交市妇幼保健院)	
古交市中医院	
娄烦县妇幼保健站	
娄烦县中医院	
娄烦县人民医院	
稷山痔瘘医院太原分院	
山西省脑瘫康复医院	
中华医学会山西分会脊椎病医院	
太原市小店区中医院	
山西省结核病防治研究所	
山西省激光医院	
山西省结核病防治研究所中医门诊部	
山西广济中医糖尿病研究所附属广济医院	
太原市小店区桥东地区医院	
太原市小店区黄陵医院	
太原市小店区骨科医院	
太原市小店区亲贤医院	
太原中亚中医专科医院	
山西中医学院第三中医院〓山西省针灸研究所	
山西省一0九医院	
太原市坞城医院(原:中铁三局集团中心医院)	
太原市类风湿病医院	
太原市红十字并州医院(原:中铁十七局集团中心医院)	太原市红十字并州医院(原:中铁十七局集团中心医院)
太原市小店区妇幼保健院	
山西煤炭中心医院	山西煤炭中心医院
太原市太航医院(原太原市太行仪表厂医院)	太原市太航医院(原太原市太行仪表厂医院)
太原市小店区人民医院	
山西省针织厂医院	
山西省水利工程局医院	
山西省荣军医院	
山西大医院	
武警山西总队医院	
太原市中辅院附属医院	
太钢疾病预防控制中心太钢老年康复医院	
太原泽祥医院(民营)	
国营江阳化工厂职工医院	
太钢总医院烧伤整形中心(原:太原钢铁公司胜利医院)	
太原市肛肠学会痔瘘医院	
太原市尖草坪区向阳医院	
太原市尖草坪区妇幼保健站	
太原钢铁公司迎新街医院	太原钢铁公司迎新街医院
太原市尖草坪区中医院	
山西医科大学附属太钢总医院	山西医科大学附属太钢总医院
太原市晋源区金胜医院	
太原市晋源区人民医院	
太原市晋源区妇幼保健所	
太原市三针治瘫医院	
山西林武激光专科医院	
山西省华医皮肤性病研究所	
山西中医学院白癜风研究所	
太原市建筑工程总公司职工医院	
太原市北城区创伤骨科医院	
太原市脉管炎医院	
太原泽亿医院	
太原市口腔医院	
太原市国营晋安化工厂医院	
太原傅山医院	
太原市矿山机器厂职工医院	
山西机器制造公司职工医院太原市杏花岭区坝陵桥社区卫生服务中心	
太原市康复医院太原市盲人按摩医院	
太原市中医院〓太原市中医研究所	
太原市第二人民医院	太原市第二人民医院
太原市第七人民医院(原:太原市第十三冶金建设公司职工医院)	
太原市中西医结合医院	太原市中西医结合医院
太原市杏花岭区中医院	
山西省国营新华化工厂医院	
太原市杏花岭区中心医院	太原市杏花岭区中心医院
太原市尖草坪区中心医院	
山西省肿瘤医院山西省第三人民医院	山西省肿瘤医院山西省第三人民医院
山西省眼科医院	
山西医科大学第二医院〓山西红十字会医院	山西医科大学第二医院山西红十字会医院
山西省儿童医院〓山西省妇幼保健院	山西省儿童医院山西省妇幼保健院
山西省中西医结合医院(原:太原铁路中心医院)	
太原市杏花岭区妇幼保健所	
山西机器制造公司职工医院	
国营山西机床厂职工医院	
太原市东山煤矿职工医院	
太原机车车辆厂职工医院	
清徐县人民医院	清徐县人民医院
清徐县中医院	
清徐县妇幼保健院	
清徐县第二人民医院	
山西省职业病防治院	
武警总队并州激光治疗中心	
山西省医学会头痛专科医院(民营)	
山西三部六病中医研究所	
太原市迎泽区中医院	
太原内分泌糖尿病专科医院(民营)	
太原市迎泽区柳巷地区医院	
太原鑫泽医院(民营)	
山西太原斜颈病医院	
太原建东骨伤手外科医院(民营)	
太原市新医医院(民营)	
山西黄河医院(民营)	
山西博奥骨科医院(民营)	
太原迎泽医学美容医院(民营)	
山西博爱医院(民营)	
山西气管炎专科医院山西省商业供销职工医院	
山西省残疾人康复中心	
民革太原中山创伤医院(民营)	
山西现代妇产医院(原:山西现代女子医院)(民营)	
太原市军创针刀医院(民营)	
山西民生医院(民营)	
太原市迎泽区正骨医院	
太原白癜风医院(民营)	
太原东方男科医院(民营)	
山西职工医学院附属医院〓山西省肛肠医院	
太原市医学会康复医院(民营)	
太原中医肝病医院(民营)	
山西省中医食管癌研究所〓太原中医食管癌专科医院	
中山生殖医学医院(民营)	
太原市迎泽区骨伤科医院	
太原博瑞眼科医院(民营)	
山西华康脊椎病医院(民营)	
山西红十字口腔医院〓太原市迎泽区口腔医院	
太原市迎泽区双塔东街医院	
太原钢铁公司劳动卫生研究所	
山西省红十字普济医院(民营)	
太原显微手外科医院(民营)	
山西省活血化瘀研究所〓山西省中西医结合妇科医院	
中化二建集团医院〓太原市中心医院集团第四医院	太原市中心医院
中北大学医院	
太原市人民医院	太原市人民医院
太原市第八人民医院(原:太原市商业职工医院)	
太原市万柏林区中心医院	
中铁十二局集团中心医院	
山西医科大学第三医院(原:山西省建筑职工医院)	
太原市中心医院北院(原:山西兴安职工医院)	
太原市煤气化集团公司职工医院	
太原市中心医院南院(原:太原市迎泽区中心医院)	
太原市中心医院	太原市中心医院
山西医科大学第一医院	山西医科大学第一医院
山西省第二人民医院〓山西省职业病医院	山西省第二人民医院山西省职业病医院
山西省人民医院	山西省人民医院
山西省心血管病医院	山西省心血管病医院
太原市妇幼保健院〓太原市妇女儿童医院	太原市妇幼保健院太原市妇女儿童医院
山西省太原精神病医院〓山西省精神卫生中心太原市第五人民医院	
中国人民解放军第二六四医院	中国人民解放军第二六四医院
太原市第三人民医院〓山西省公共卫生临床中心太原市传染病院	太原市第三人民医院山西省公共卫生临床中心太原市传染病院
山西医科大学口腔医院	
太原市迎泽区妇幼保健所	
阳曲县精神病院	
阳曲县中医院	
阳曲县人民医院	阳曲县人民医院
阳曲县妇幼保健所	
乳山博爱医院(民营)	
乳山市康宁医院	
乳山市性病医院	
乳山市人民医院	乳山市人民医院
乳山市妇幼保健院	
乳山市中医院	
乳山市银滩医院	
乳山市经区医院	
乳山市第二人民医院	乳山市第二人民医院
威海市复退军人康宁医院	
威海市文登区第三人民医院威海市文登区皮肤病医院	
威海市文登区新时代医院(民营)	
威海市文登区哮喘病医院	
威海市文登区第一人民医院开发区分院	
威海市文登区苘山医院(民营)	
威海市文登区肿瘤医院城里分院	
威海市文登区第一人民医院	
威海市文登区第二人民医院	
威海市文登区口腔医院	
威海市文登区妇女儿童医院威海市文登区妇幼保健院	
威海市文登区第二人民医院市中院区	
威海市文登区第二人民医院口子院区	
威海市文登区第二人民医院大水坡院区	
威海市文登区第二人民医院天福山院区	
山东省文登整骨医院	
威海市中心医院(原:威海市文登中心医院)	威海市文登中心医院
威海市文登区第一人民医院红十字会医院	乐山市市中区人民医院乐山市第二人民医院(原:乐山市红十字会医院)
威海市文登区肿瘤医院	
威海市文登区妇幼保健院	
威海市文登区皮肤病医院	
威海佛顶山医院	
威海市仙姑顶医院	
威海市立第二医院南院区(原:威海市水疗康复中心)	
威海市立第三医院威海市精生卫生中心(原:威海市经济技术开发区医院)	
威海市立医院高区分院威海市立医院西院区(原:威海市高区医院)	
威海国安医院(民营)	
威海德生肿瘤医院(民营)	
威海市精神卫生中心	
威海市陆军医院	
威海光华耳鼻咽喉头颈外科医院(民营)	
威海迪沙医院(民营)	
威海现代妇产医院(民营)	
威海石岛保法医院(民营)	
中国人民解放军37003海军康复中心	
威海泌尿专科医院(民营)	
威海市立第二医院西院区(原:威海市眼耳鼻喉科医院)	
中国人民解放军37015部队医院	
中国人民解放军四0四医院	
威海口腔医院	
威海卫人民医院威海市骨科医院	威海卫人民医院威海市骨科医院
威海市立医院肿瘤医院威海市立医院南院区(原:威海市肿瘤医院)	
威海市肿瘤医院威海市职工医院	
威海市立第二医院威海市妇幼保健院青岛大学附属威海医院	
威海市立医院	威海市立医院
威海市中医院〓威海市中西医结合医院〓威海市红十字医院	
威海金海湾医院	
威海市环翠区妇幼保健院	威海市环翠区妇幼保健院
威海市度假区医院威海市张村医院	
荣成市整骨医院	
荣成市精神病防治院	
荣成益成医院(民营)	
石岛华侨医院(民营)	
荣成市人民医院	荣成市人民医院
荣成市第二人民医院	荣成市第二人民医院
荣成市妇幼保健院	
荣成市中医院	荣成市中医院
荣成市第三人民医院	
荣成市人和镇院夼集团职工医院	
涟邵矿务局金竹山煤矿职工医院	
冷水江市康复医院	
冷水江金竹山电厂职工医院	
娄底市宜化医院(原:湖南大乘资氮集团公司医院)	
冷水江市中医院	
冷水江市人民医院	冷水江市人民医院
锡矿山中心医院	
冷水江钢铁集团公司湘安医院	
冷水江市妇幼保健院	
冷水江市博大医院(原:冷水江碱厂职工医院)	
双峰县花门乡野医院(民营)	
双峰县第五人民医院	
双峰县中医院	双峰县中医院
双峰县人民医院	双峰县人民医院
洪山殿实业有限公司职工医院	
双峰县第二人民医院	
双峰县骨伤科医院	
双峰县妇幼保健院	
恩口煤矿职工医院	
娄底东方医院(民营)	
娄底市眼科医院(民营)	
娄底五官科医院(民营)	
娄底丽人医院(民营)	
娄底市博雅医院(民营)	
恺德微创娄底医院(民营)	
娄底市第二人民医院(原:娄底铁路医院)	
娄底市中医院	
娄底市第一人民医院娄底市卫生学校附属医院原(:涟钢医院)	娄底市第一人民医院娄底市卫生学校附属医院原(:涟钢医院)
娄底市妇幼保健院	
娄底市骨伤医院娄底市红十字骨伤医院	
娄底市康复医院	
娄底市中心医院	娄底市中心医院
娄底四一八医院	
娄底市老科协医院(民营)	
娄底市职业病医院	
娄星区人民医院（娄星区妇幼保健院）	娄底市娄星区人民医院娄星区妇幼保健院
新化县燎原区医院	
新化县传染病医院	
新化县协民医院(原:新化县中医肿瘤研究所)	
新化县人民医院	新化县人民医院
新化县第二人民医院	
新化县中医院	
新化县妇幼保健院	
新化县第四人民医院	
新化县第三人民医院	
新化县红十字会普济医院	
新化县第五人民医院	
新化县第六人民医院	
新化县精神病医院	
涟邵矿务局煤炭医院	
斗立山煤矿职工医院	
涟源市仁爱医院(原:湖南省煤矿机械厂职工医院)	
涟源市桥头河区医院	
涟源市眼科医院	
涟源市民盟医院	
涟源市杨家滩区医院	
娄底市湘中煤炭医院(原:涟邵矿业集体公司总医院)	
涟源市人民医院	涟源市人民医院
涟源市中医院	涟源市中医院
涟源市第四人民医院	
涟源市第五人民医院	
涟源市第七人民医院	
涟源市第三人民医院	
涟源市第二人民医院	
涟源市妇幼保健院	涟源市妇幼保健院
涟源市职业病防治医院	
云梦县城南医院	
云梦棉纺厂职工医院	
云梦县中医院	云梦县中医院
云梦县人民医院	
云梦县妇幼保健院	
大悟县河口医院	
黄麦岭磷化工集团公司职工医院	
大悟县人民医院	
大悟县中医院	
大悟县第二人民医院	
大悟县苏区人民医院	
大悟县妇幼保健院	
孝感市痔瘘医院	
孝感市孝南区中医院	
孝感市博爱医院(民营)	
孝棉集团公司医院	
国营万山特种车辆制造厂职工医院	
孝感市惠民医院(原:孝感市长征医院)	
孝感市第三人民医院	
孝感市口腔医院	
孝感市中心医院仁济分院(原:国营汉光光电工厂(原4404厂)职工医院)	孝感市中心医院仁济分院(原:国营汉光光电工厂(原四四零四厂)职工医院)
国营朱湖农场职工医院	
孝义市曙光创伤骨科医院(民营)	
孝感市第四人民医院	
湖北航天医院	
孝感市妇幼保健院	孝感市妇幼保健院
孝感市精神卫生中心孝感市康复医院	
湖北职业技术学院附属惠济医院(原:孝感卫校附属医院)	
孝感市第一人民医院	孝感市第一人民医院
孝感市第二人民医院	
华中科技大学同济医院附属孝感医院孝感市中心医院	华中科技大学同济医院附属孝感医院孝感市中心医院
孝感市中医院	
孝感市孝南区妇幼保健院	
孝昌县人民医院	
孝昌县妇幼保健院	
安陆铝业集团有限责任公司职工医院	
安陆市棉纺织集团有限责任公司职工医院	
安陆粮食机械厂职工医院	
安陆市人民医院安陆市普爱医院	
安陆市中医院	
安陆市第二人民医院	
安陆市妇幼保健院	
应城仁爱医院(民营)	
应城化工厂职工医院	
应城市中医院应城市中西医结合医院	应城市中医院应城市中西医结合医院
应城市人民医院	
湖北省双环化工集团有限公司职工医院	
湖北省应城盐矿职工医院	
应城市第二人民医院(原:应城市长江医院)	
应城石膏矿职工医院	
应城市蒲阳医院	
应城市妇幼保健院应城市妇女儿童医院	
应城市汤池医院	
汉川市刁东棉花原种场职工医院	
3509工厂职工医院	
孝感市华严农场职工医院	
孝感市中州农场职工医院	
汉川市惠民医院(原:汉川市血防医院)	
汉川市中医院	
汉川市第二人民医院	
汉川市妇幼保健院	
武汉大学人民医院汉川医院汉川市人民医院	汉川市人民医院
汉川仙女山医院	
古田县医院	古田县医院
古田县中医院	
古田县妇幼保健院	
周宁县医院	周宁县医院
周宁县中医院	
周宁县妇幼保健院	
寿宁县中医院	
寿宁县医院	
寿宁县妇幼保健所	
屏南县中医院	
屏南县妇幼保健院	
屏南县医院	
柘荣县惠民医院(民营)	
柘荣县医院	柘荣县医院
柘荣县中医院	
柘荣县妇幼保健所	
福安市精神病院	
福安市民族医院	
福安市中医院	
福安市医院	福安市医院
宁德市闽东医院福建医科大学附属闽东医院(原:宁德地区第一医院)	宁德市闽东医院（原名福建省宁德地区第一医院）
福安市妇幼保健院	
福鼎康和产科医院(民营)	
福鼎市精神病院	
福鼎同济医院(民营)	
福鼎海军医院	
福鼎市中医院	
福鼎市妇幼保健院	
福鼎市医院	福鼎市医院
福鼎市第二医院	
宁德市康复医院宁德市精神卫生中心(原:宁德地区第三医院)	
宁德人民医院宁德市蕉城区医院	宁德人民医院宁德市蕉城区医院
南京军区福州总医院第二附属医院	
宁德市妇幼保健院	
福建中医药大学附属宁德市医院宁德市医院(原:宁德地区第二医院)	宁德市医院
宁德市中医院	
宁德市蕉城区妇幼保健院	
霞浦康明医院(民营)	
霞浦福宁医院(民营)	
霞浦县医院	霞浦县医院
霞浦县中医院	
霞浦县妇幼保健院	
霞浦县精神病医院	
余姚惠爱医院(民营)	
余姚市第二人民医院	余姚市第二人民医院
余姚市中医院	余姚市中医院
余姚市第四人民医院上海仁济医疗集团余姚医院	余姚市第四人民医院上海仁济医疗集团余姚医院
余姚市第三人民医院〓余姚慈善医院〓余姚市精神卫生保健院	
宁波大学附属阳明医院余姚市人民医院	宁波大学附属阳明医院余姚市人民医院
余姚市妇幼保健所	
余姚市梨洲医院	
宁波开发区中心医院	宁波开发区中心医院
宁波港务局管理局职工医院	
宁波市北仑区人民医院梅山分院宁波市北仑区梅山乡社区卫生服务中心	
宁波市北仑区戚家山街道社区卫生服务中心(原:宁波经济技术开发区医院)	
宁波大榭开发区医院	宁波大榭开发区医院
宁波市北仑区人民医院宁波市北仑区宗瑞医院	宁波市北仑区宗瑞医院
宁波市北仑区第二人民医院(原:宁波市北仑区柴桥医院)	宁波市北仑区第二人民医院(原:宁波市北仑区柴桥医院)
宁波市北仑区小港医院(原:宁波怡和医院)	宁波市北仑区小港医院 (原:宁波怡和医院)
宁波市北仑区妇幼保健院	
宁波市北仑区中医院宁皮市北仑新碶社区卫生服务中心	
大榭开发区医院	宁波大榭开发区医院
宁波市颐康医院	
宁波市奉化新桥骨科医院(民营)	
宁波市奉化区安康医院	
宁波市奉化康复医院(民营)	
奉化爱伊美医院(民营)	奉化爱伊美医院(民营)
宁波市奉化广仁医院	
宁波市奉化区口腔医院	
宁波市奉化区中医院〓宁波市奉化区陈卢翠中医院	
宁波市奉化区人民医院	奉化市人民医院
宁波市奉化区第二医院〓宁波市奉化区溪口医院	奉化市第二医院奉化市溪口医院
宁波市奉化区妇幼保健院	奉化市妇幼保健院
宁海天童骨伤医院(民营)	
宁海城关镇凤潭医院(民营)	
宁海县第一医院	宁海县第一医院
宁海县妇幼保健院	宁海县妇幼保健院
宁海县中医院	宁海县中医院
宁海县第二医院〓宁波市医疗中心李惠利东部医院宁海分院(原:宁海县城关医院)	
宁海县精神康复中心〓宁海县深圳中心卫生院	
县第二医院	
县第三医院	
宁海县县第三医院	
宁海县城关医院分院	
慈溪鲍尧坤医院(民营)	
慈溪市坎墩医院	
慈溪友谊医院(民营)	
慈溪海卫医院(民营)	
慈溪市第七人民医院(原:慈溪市峙山医院)	
慈溪同济医院(民营)	
慈溪市明光眼科医院(民营)	
慈溪明峰医院(民营)	慈溪明峰医院(民营)
慈溪同济康复医院(民营)	
慈溪圣爱医院(民营)	
慈溪协和医院(民营)	
慈溪五爱医院(民营)	
慈溪市皮肤病医院	
慈溪华阳口腔医院(民营)	
慈溪百草堂医院(民营)	
慈溪市周巷伤科医院	
慈溪市第三人民医院	慈溪市第三人民医院
慈溪市中医院	慈溪市中医院
慈溪市妇幼保健院	慈溪市妇幼保健院
慈溪市第二人民医院	
